Timestamp,Did you eat breakfast this morning?,What is your height in inches?,What is your weight?,How many hours of sleep do you get during the week?,How many hours of sleep do you get on the weekends?,Are you working remotely?,How many minutes of exercise do you get in a week?,Do you have any pets?,How many hours do you spend in meetings on a typical day?,Do you have significant other?,How many movies did you watch in the past year at your house?,Do you prefer to watch movies:,How old are you?,Do you like to shop,Do you smoke?,How many siblings do you have?,What order are in you in the sibling birth order? (1 is oldest),What award do you prefer?,How many hours of TV do you watch in a week?,What is your favorite TV show?,What is your pulse rate?,What is your favorite food?,What is your favorite fruit?,Do you prefer ice cream or a cookie for dessert?
8/26/2021 21:36:40,Yes,5’7,145,7/night ,10/night,Yes,12,None,2,Yes,1,at home?,25,online?,No,3,1,Nobel,35,The Wire,Don’t know ,Wings ,Strawberry,Cookie
8/26/2021 21:46:54,Yes,74,215,6,8,Yes,180,Cat(s),4,Yes,50,at home?,44,online?,No,2,1,Olympic,8,What We Do In The Shadows,65,Mexican,Grape,ice cream
8/26/2021 21:54:03,No,70,240,6.5,9,Yes,75,Dog(s),5,No,10,at home?,36,online?,No,1,2,Nobel,20,The Handmaid's Tale,70,Curry,Banana,Ice Cream
8/26/2021 21:57:31,Yes,"5'3""",160,,46,Yes,0,Dog(s),2,Yes,42,at home?,53,in person?,No,3,2,Nobel,10,News,120,Chocolate cake,Strawberry,Cookie
8/26/2021 21:59:39,Yes,"5'4""",155,7,7,Yes,30 mins,Dog(s),1,Yes,about 20,at home?,48,in person?,No,3,2,Academy,2 hours,Nothing specific,between 60 to 75,Pasta,Watermelon,Ice cream
8/26/2021 22:07:12,Yes,66,220 lbs,8 hrs per night,8 hrs per night,Yes,0,"Dog(s), Cat(s)",4,Yes,15,at home?,53,in person?,No,2,3,Academy,10,Big Bang theory,82,Chicken parmigiana ,Banana,Cookie
8/26/2021 22:09:51,Yes,70,187,38,16,Yes,100,None,1,Yes,6,at the theater?,39,in person?,No,4,2,Nobel,2,The office,no idea,Cheese stuffed peppers,Banana,cookie
8/26/2021 22:23:41,Yes,66,160,30,12,Yes,300,Dog(s),5,Yes,15,at home?,48,online?,No,2,2,Olympic,0,Friends,60,Steak,Watermelon,Ice cream
8/26/2021 22:25:17,Yes,62,153,35,16,Yes,360,Dog(s),2,Yes,50,at the theater?,49,in person?,No,3,4,Nobel,5,The Walking Dead,97,Chinese,Other,Ice cream
8/26/2021 23:56:03,No,58,140,35,18,Yes,30,"Dog(s), Cat(s)",1,No,10,at home?,26,in person?,No,2,1,Nobel,8,Demon Slayer,88,Chinese,Watermelon,Cookie
8/27/2021 4:56:18,No,67.5,176.6,6.5 - 7.0,6.5 - 8.5,No,0,Cat(s),2,Yes,6,at home?,56,online?,No,2,2,Nobel,9 - 10,Person of Interest,77,Massey's Pizza,Strawberry,Ice Cream
8/27/2021 8:11:53,Yes,76,,35,16,Yes,150,"Dog(s), Cat(s)",2,Yes,10,at the theater?,38,online?,No,1,2,Academy,8,The Simpsons ,61,Pizza ,Other,Ice cream
8/27/2021 10:45:23,Yes,68,153,52,18,No,120,None,2,Yes,100,at home?,48,online?,No,4,4,Academy,18,Walking Dead,70,Indian,Apple,Cookie
8/27/2021 14:58:25,Yes,72,139,33.75,17.5,Yes,160,Dog(s),4,Yes,13,at home?,30,online?,No,0,,Olympic,9.8,NCIS,64,sweet potato,Banana,ice cream
8/27/2021 15:25:56,No,64,150,30,15,Yes,150,None,4,Yes,8,at home?,33,online?,No,2,2,Olympic,8,The Office,105,Mexican food,Apple,Cookie
8/27/2021 16:56:30,Yes,65,110,25,16,Yes,225,None,2,No,15,at home?,25,in person?,No,2,1,Academy,12,Superstore,67,Chips,Watermelon,Cookie
8/27/2021 21:52:27,Yes,167,134,8,10,No,45 minutes every day,Dog(s),4,Yes,5,at the theater?,43,in person?,No,2,youngest 3rd one,Nobel,20 minutes ,not any,,Home made fresh food,Watermelon,ice cream
8/28/2021 14:07:11,Yes,"5,10",250,28,14,No,240,Dog(s),7,No,76,at home?,42,in person?,No,26,24,Nobel,0,Breaking bad,,Chinese,Banana,Ice cream
8/28/2021 21:30:08,Yes,61,160,30,16,Yes,20,"Dog(s), Cat(s)",5,Yes,75,at home?,34,online?,No,1,1,Nobel,2,Supernatural,74,Chocolate,Watermelon,Both
8/29/2021 12:57:09,Yes,74,280,6,6,Yes,30,Dog(s),2,Yes,60,at home?,36,in person?,Yes,1,2,Olympic,21,The Boys,80,Spaghetti with Meat Sauce,Banana,cookie
