,Datetime,Tweet Id,Text,Username
0,2021-11-23 23:59:57+00:00,1463296292197744644,não vou poder madrugar pra hawkeye pq vou ter que acordar cedo pra fazer aula de moto https://t.co/N70Pbjesh1,hiddletstark
1,2021-11-23 23:59:57+00:00,1463296291539234817,Dans 9H y a #Hawkeye et vous pensez que je vais pas péter mon crâne la ?,NicoVetti
2,2021-11-23 23:59:53+00:00,1463296275391127553,"Antes de que salga Hawkeye me declaro fan de Yelena belova y Kate Bishop, sin contar a Eleanor Bishop.",MrsStarkDanvers
3,2021-11-23 23:59:50+00:00,1463296262053285888,"La neta la serie de el Hawkeye no me emociona, de hecho el me cae mal",carnalgas01
4,2021-11-23 23:59:43+00:00,1463296234895167491,"Pues muchas ganas de volver al gran #Hawkeye . Uno de los Vengadores originales y de los más infravalorados por ser un tipo común que tiene como arma un arco y variedad de flechas.

Personajes tan humanos y terrenales como este son los que más molan. https://t.co/EwtOuUpB67",MarcosAlvareez
5,2021-11-23 23:59:33+00:00,1463296190951350274,I’m Hyped Tonight To Watch The Premiere Of @hawkeyeofficial On @DisneyPlus!!!!! #Hawkeye https://t.co/zRVRnzwdz4,DDUBMochaLover
6,2021-11-23 23:59:32+00:00,1463296186547326980,indo de berço pq amanhã tem hawkeye,theeybwm
7,2021-11-23 23:59:24+00:00,1463296154259509253,HAWKEYE JAM BERAPAAA,sarettedove
8,2021-11-23 23:59:23+00:00,1463296148471521283,HAWKEYE -- A Forgettable Series for the Lamest Avenger - disappointment media https://t.co/dBTkC2s09c,bigtunaonfilm
9,2021-11-23 23:59:18+00:00,1463296130280742913,Hawkeye in eight hours. We move fellas @KeuchelRBW @TheSmallHumph https://t.co/gj2MQPJoMC,tyleroneillfan
10,2021-11-23 23:59:14+00:00,1463296113092567041,"Mañana #Hawkeye 

A ver... https://t.co/x14MlpTq5F",GollumReviews
11,2021-11-23 23:59:02+00:00,1463296061041086467,HAWKEYE - Episode 1 &amp; 2 - Watch Party &amp; Review at Midnight tonight! 12am PST Hope to see you there Super Fam! #Hawkeye #HawkeyeSeries #DisneyPlus https://t.co/EcaZP4AjVq,MarvelBros23
12,2021-11-23 23:59:01+00:00,1463296058092658689,Vou assistir Hawkeye só quando sair do trabalho https://t.co/APA9qPM62W,druigonv
13,2021-11-23 23:58:54+00:00,1463296030263451653,amanhã tem hawkeye!! tinha esquecido,_cmmesquita
14,2021-11-23 23:58:51+00:00,1463296014270361602,What better way to celebrate #Hawkeye release than to get the Endgame Mohawk re-cut &amp; Bow &amp; Arrow tattoo out! #ClintBarton  #KateBishop https://t.co/iaFQbU4iEL,BrandonMyers02
